,GAS,COAL,NUCLEAR,WIND,WIND_EMB,HYDRO,IMPORTS,BIOMASS,OTHER,SOLAR,STORAGE,GENERATION,CARBON_INTENSITY,LOW_CARBON,ZERO_CARBON,RENEWABLE,FOSSIL,GAS_perc,COAL_perc,NUCLEAR_perc,WIND_perc,WIND_EMB_perc,HYDRO_perc,IMPORTS_perc,BIOMASS_perc,OTHER_perc,SOLAR_perc,STORAGE_perc,GENERATION_perc,LOW_CARBON_perc,ZERO_CARBON_perc,RENEWABLE_perc,FOSSIL_perc,North Scotland,South Scotland,North West England,North East England,Yorkshire,North Wales and Merseyside,South Wales,West Midlands,East Midlands,East England,South West England,South England,London,South East England
count,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,121034.0,121034.0,121034.0,121034.0,121034.0,121034.0,121034.0,121034.0,121034.0,121034.0,121034.0,121034.0,121034.0,121034.0
mean,11033.376110146366,482.4844455470107,5015.322947159514,6502.689150748367,1653.7572314562144,404.07163648391634,3377.6823368891096,1960.1775076490533,254.96262300504424,1517.8008682709005,195.22546101050193,32397.55006201935,164.16602166542629,17249.04454643182,12117.309178863805,10273.544612585794,11515.860439923923,33.35132556024146,1.3177458033573142,16.034018026957746,20.320786405358465,5.154870586289589,1.223535102952121,10.716640205077315,6.150071942446043,0.7817381956503763,4.41345985280741,0.5347746630281982,100.0,53.832502274042845,48.425777722649464,31.648065823203506,34.669239229306214,69.10936871733011,37.211549371801866,63.846649150927284,38.786277685058195,208.09638338538483,138.9383231158187,302.05475320984186,168.81403021740448,285.09719582927113,147.34403831430288,200.43189516995227,233.47367957213126,173.77781725245248,185.8695848549443
std,5680.491713284396,851.2929672999193,953.9319041706212,3921.437806233562,1011.8901413377845,242.85680384009024,1869.787611533497,725.8658988125779,236.3814566842363,2397.879197054042,359.58122714340084,6291.193563206445,66.08290167982824,5074.571061368625,4062.132820815924,5177.166161297376,6099.456562043322,14.454198368015646,2.1091584325120305,4.218220892406206,12.105182291421109,3.0505526028029775,0.67523597797963,6.241993510504801,2.3447952684748827,0.6606822306843018,7.03927198953313,0.9526319572047824,0.0,14.411438328488547,16.728152640035695,14.968954355406972,15.133072015472171,91.90600526471539,37.63219220183496,46.52975389203487,40.26406753655489,81.38041151211584,106.38372517119073,97.05193763981256,102.05929750138259,118.38573942120557,78.63863148457348,106.48505277255363,83.40871731219711,82.80336081024043,77.26039882463209
min,23.0,0.0,2065.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,16620.0,11.0,5133.0,3451.0,452.0,23.0,0.1,0.0,4.9,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.6,13.1,1.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,2.0,0.0,0.0,3.0,-8.0,0.0
25%,6136.25,0.0,4350.0,3222.0,867.0,200.0,2038.0,1419.0,123.0,0.0,0.0,27545.0,111.0,13323.0,8767.0,6174.0,6323.0,21.2,0.0,13.0,10.3,2.8,0.7,6.3,4.5,0.4,0.0,0.0,100.0,42.4,34.5,19.8,22.0,0.0,11.0,27.0,13.0,142.0,52.0,252.0,77.0,196.0,84.0,113.0,169.0,108.0,124.0
50%,10608.5,0.0,4921.0,5949.5,1419.0,375.0,3230.0,2023.0,170.0,4.0,0.0,32228.5,166.0,16926.0,11669.5,9805.0,10929.0,34.0,0.0,15.6,18.7,4.5,1.2,10.1,6.1,0.6,0.0,0.0,100.0,52.8,46.3,30.2,35.1,16.0,23.0,54.0,24.0,215.0,116.0,338.0,163.0,290.0,142.0,195.16666666666669,238.0,172.0,185.0
75%,15310.0,710.0,5707.0,9488.0,2208.0,571.0,4516.0,2454.0,297.0,2415.0,228.0,36805.0,215.0,20844.0,15247.75,13859.0,15897.0,45.2,2.1,18.5,29.3,6.9,1.7,14.3,7.5,0.9,6.9,0.7,100.0,64.6,61.5,42.5,46.9,122.0,51.0,92.0,47.0,269.0,203.0,371.0,249.0,363.0,205.0,287.0,298.6666666666667,235.0,241.0
max,27868.0,8951.0,7486.0,17406.0,5947.0,1181.0,9148.0,3328.0,3036.0,14035.0,2444.0,51274.0,396.0,36254.0,25215.0,30030.0,34003.0,72.8,19.6,32.2,55.6,19.3,4.4,36.5,16.0,6.9,42.8,7.9,100.0,94.5,94.1,78.6,74.4,383.0,245.0,289.0,271.0,491.0,717.0,748.0,554.0,774.0,402.0,430.0,459.0,604.0,417.0
